Description,X,Y,Width,Height,Diameter,,Notes
,,,,,,,
Antenna,,,,,,,
,,,,,,,
SMA-025 hole,-6.000,4.750,,,0.250,,Wifi A
SMA-025 hole,-4.000,4.750,,,0.250,,Cellular A
SMA-025 hole,-2.000,4.750,,,0.250,,Cellular Wifi
SMA-025 hole,0.000,4.750,,,0.250,,Cellular B
SMA-025 hole,2.000,4.750,,,0.250,,Wifi B
SMA-025 hole,7.000,4.000,,,0.250,,SDR
SMA-025 hole,7.000,2.000,,,0.250,,LoRa
N Hole,7.000,0.000,,,0.250,,Bluetooth
,,,,,,,
"10"" Rack",,,,,,,
,,,,,,,
Custom Rectange,-2.000,0.000,8.750,8.750,,,
Hole,-6.656,4.125,,,0.200,,
Hole,-6.656,3.500,,,0.200,,
Hole,-6.656,2.875,,,0.200,,
Hole,-6.656,2.375,,,0.200,,
Hole,-6.656,1.750,,,0.200,,
Hole,-6.656,1.125,,,0.200,,
Hole,-6.656,0.625,,,0.200,,
Hole,-6.656,0.000,,,0.200,,
Hole,-6.656,-0.625,,,0.200,,
Hole,-6.656,-1.125,,,0.200,,
Hole,-6.656,-1.750,,,0.200,,
Hole,-6.656,-2.375,,,0.200,,
Hole,-6.656,-2.875,,,0.200,,
Hole,-6.656,-3.500,,,0.200,,
Hole,-6.656,-4.125,,,0.200,,
Hole,2.656,4.125,,,0.200,,
Hole,2.656,3.500,,,0.200,,
Hole,2.656,2.875,,,0.200,,
Hole,2.656,2.375,,,0.200,,
Hole,2.656,1.750,,,0.200,,
Hole,2.656,1.125,,,0.200,,
Hole,2.656,0.625,,,0.200,,
Hole,2.656,0.000,,,0.200,,
Hole,2.656,-0.625,,,0.200,,
Hole,2.656,-1.125,,,0.200,,
Hole,2.656,-1.750,,,0.200,,
Hole,2.656,-2.375,,,0.200,,
Hole,2.656,-2.875,,,0.200,,
Hole,2.656,-3.500,,,0.200,,
Hole,2.656,-4.125,,,0.200,,
,,,,,,,
Power,,,,,,,
,,,,,,,
Hole,4.000,-2.000,,,0.866,,
C14RS Inlet,6.000,-3.000,,,,,
Hole,4.000,-3.625,,,0.984,,
Hole,3.430,-3.055,,,0.150,,
Hole,4.621,-3.055,,,0.150,,
Hole,3.430,-4.246,,,0.150,,
Hole,4.621,-4.246,,,0.150,,
,,,,,,,
Mounting,,,,,,,
,,,,,,,
Hole,6.330,-0.210,,,0.150,,
Hole,3.685,-0.210,,,0.150,,
Hole,6.330,4.240,,,0.150,,
Hole,3.685,4.240,,,0.150,,
Hole,3.500,4.750,,,0.200,,
Hole,7.500,4.750,,,0.200,,
Hole,3.500,-4.750,,,0.200,,
Hole,7.500,-4.750,,,0.200,,
,,,,,,,
Misc,,,,,,,
,,,,,,,
USB Cable,5.536,-0.597,,,0.500,,
